Term,Type,Synonyms,Definition,Generated Definition
agency regular jump z,Class,,"Regular non-Sticky Jump Z tranches maintain their changed status only while the trigger event is in effect, and revert to their old payment status once the trigger event has passed.","A kind of agency jump z tranche. A valid occurrence satisfies the following necessary condition:
reverts on at least one occurrence of jump z trigger event reversal."
agency sticky jump z,Class,,'Sticky' Jump Z tranches maintain the payment priority of a Jump Z tranche until they are retired.,A kind of agency jump z tranche.
agency z tranche,Class,,A tranche that does not receive payments while other tranches remain.,A kind of agency c m o.
agent for service of process,Class,,"the agent (person or organization) designated by a business entity, such as a corporation, to receive legal correspondence on behalf of the business entity in the jurisdiction in which the agent's address is located","A kind of contract third party, signatory, and third-party agent. A valid occurrence may have the following properties:
is recognized in any number of occurrences of jurisdiction."
agent in role,Class,,An agent-in-role is a relative concept that ties an autonomous agent to a role they are playing in a given situational context.,"A kind of thing in role. A valid occurrence satisfies the following necessary condition:
has identity exactly one occurrence of autonomous agent."
agreement,Class,,a negotiated and usually legally enforceable understanding between two or more legally competent parties,"A kind of relationship context. A valid occurrence satisfies the following necessary conditions:
has party in role at least two occurrences of party in role.
confers at least one occurrence of commitment."
agreement corporation,Class,,"a corporation chartered by a state to engage in international banking, so named because the corporation enters into an 'agreement' with the Fed's Board of Governors that it will limit its activities to those permitted","A kind of financial service provider. A valid occurrence satisfies the following necessary condition:
has identity exactly one occurrence of corporation."
agricultural product,Class,,"A commodity which is some agrigultural product, including grain, fruit and meat.",A kind of negotiable commodity.
agricultural products delivery,Class,,Delivery of any agricultural produce.,A kind of commodity physical delivery.
algo debt credit spread,Class,,The Spread between the Debt Instrument Maturity and the Credit Rating of the Issuer.,"A valid occurrence satisfies the following necessary conditions:
refers to maturity at least one occurrence of maturity.
is between at least one occurrence of investment credit rating.
refers to credit rating at least one occurrence of issuer credit rating."
alienable right,Class,,A right which can be taken away from the entity that holds it,A kind of right.
all borrowers monthly income,Class,,total monthly qualifying income for all borrowers on the loan,"A kind of monetary amount. A valid occurrence satisfies the following necessary condition:
is based on at least one occurrence of borrower monthly income."
allotment right,Class,,"Privileges allotted to existing security holders, entitling them to receive new securities free of charge.","A kind of stockholders rights instrument. A valid occurrence satisfies the following necessary condition:
number of securities determined by at least one occurrence of allotment right formula.A valid occurrence may also have the following properties:
number of securities any number of occurrences of Number."
allotment right formula,Class,,"A formula used to calculate the number of securities for an Allotment Right, based on the number of these instruments that the holder holds. Conesnsus:Review","A kind of formula. A valid occurrence may have the following properties:
formula text any number of occurrences of text value."
allotment right holder,Class,,The party which is the holder of an allotment right. This is identified as being a party which is also an existing holder of the security identified as the underlying security.,"A kind of stockholders rights instrument holder. A valid occurrence satisfies the following necessary condition:
is by virtue of being at least one occurrence of security holder."
american exercise convention,Class,,A feature of an option that stipulates that the option can be exercised anytime within the specified date window.,"A kind of exercise dates convention. A valid occurrence may have the following properties:
exercise window any number of occurrences of date period."
American statistics publisher,Class,,a statistical information publisher comprised of the government agencies and departments that publish statistical information on behalf of the U.S. Federal Government,A kind of statistical information publisher.
amortization,Class,,"the process of reduction of debt or other costs through periodic charges to assets or liabilities, such as through principal payments on mortgages","A kind of thing in role. A valid occurrence may have the following properties:
is amortization of any number of occurrences of any type."
amortization schedule,Class,,a schedule which specifies changes in the scheduled balance of loan principal over time,A kind of schedule.
amortization type,Class,,The different types of principal payments applicable to a debt security.,
amortizing bond,Class,,,"A kind of bond. A valid occurrence satisfies the following necessary condition:
has principal amortization terms at least one occurrence of bond amortization payment terms.A valid occurrence may also have the following properties:
notional any number of occurrences of Boolean value."
amortizing redemption payment,Class,,,"A kind of bond redemption payment. A valid occurrence satisfies the following necessary condition:
has terms at least one occurrence of bond amortization payment terms."
amount of money,Class,cash,a sum of money,"Equivalent to money amount.A kind of quantity value. A valid occurrence may have the following properties:
has base money unit any number of occurrences of currency.
has base money unit any number of occurrences of currency."
analytical information,Class,,"Information about some item at some time past, present or future. This takes the form of some measure about the thing being analyzed; the measure will have some values at different times as shown in the Math grammar for dated parameters.","A kind of information and timed parameter. A valid occurrence satisfies the following necessary conditions:
analyzes at least one occurrence of timed parameter.
derived from at least one occurrence of (Unnamed Class).
makes reference to at least one occurrence of timed parameter."
analytics calculation model,Class,,A model used for formal calculation of parameters.,"A kind of mathematical model. A valid occurrence satisfies the following necessary condition:
includes at least one occurrence of formula."
annual reporting policy,Class,,Reports are presented once a year,A kind of reporting frequency policy.
annualized performance determination method,Class,,Annualized performance determination.,A kind of performance determination method.
anstalt,Class,,Form of Foundation registered in Leichtenstein.,A kind of foundation.
apartment,Class,,A building subbdivision intended for habitation.,"A kind of building sub unit. A valid occurrence satisfies the following necessary condition:
apartment identified by at least one occurrence of building sub unit address fragment."
applicant,Class,,The party making some application.,A kind of requesting party.
application,Class,,"a request submitted by an applicant to receive something (e.g. a licence, a loan, a membership) accompanied by documentation of pertinent information to determine whether the request should be granted","A kind of request. A valid occurrence satisfies the following necessary condition:
has date received at least one occurrence of date."
application information,Class,,"A formal application by some party to some other party, in which the requesting party sets out some requirement which they request to be fulfilled by the other party.","A kind of request. A valid occurrence satisfies the following necessary condition:
made by at least one occurrence of applicant."
appreciation,Class,,,"A valid occurrence satisfies the following necessary condition:
increase in at least one occurrence of economic value."
arbitrage c d o,Class,,Arbitrage CDO/CLO/CBO - the reference assets are bought by a firm or conduit or SPV (Special Purpose Vehicle) with a view to repackage them and sell them on as the structured product.,"A kind of c d o deal. A valid occurrence satisfies the following necessary condition:
has c d o origination objective at least one occurrence of arbitrage cdo objective."
arbitrage cdo objective,Class,,"The objective is arbitrage, whereby the motivation is to add value by repackaging assets into tranches.",A kind of c d o origination objective.
arbitrage synthetic c d o,Class,,"Arbitrage synthetic CDO deals are motivated by regulatory or practical considerations that might make a bank want to retain ownership of debt while achieving capital relief through CDSs. In this case, the sponsoring bank has a portfolio of obligations, called the reference portfolio. It retains that portfolio, but offloads its credit risk by transacting CDSs with the CDO.","A kind of arbitrage c d o and synthetic c d o. A valid occurrence satisfies the following necessary conditions:
assets managed by at least one occurrence of c d o portfolio manager.
issues at least one occurrence of synthetic c d o tranche."
arithmetic mean,Class,,the sum of a collection of numbers divided by the number of numbers in the collection,A kind of mean.
arrangement,Class,,"a structure or means of organizing information such as a schema, numbering system, organization scheme, measurement system, taxonomy, or language for organizing information",
arrears payment history  (please review),Class,,Historical information about payment of arrears by the entity.,"A kind of borrower ongoing dated facts (please review). A valid occurrence may have the following properties:
payments missed in past six months (please review) any number of occurrences of Boolean value."
articles of incorporation,Class,articles of association,proxy,"A kind of instrument of incorporation. A valid occurrence satisfies the following necessary conditions:
sets out at least one occurrence of company equity terms.
sets out at least one occurrence of company equity terms."
asian exercise commitment,Class,,"Commitment to pay out on an option on the basis of a rolling average strike, which the other party may or may not choose to exercise against.","A kind of option writer commitment. A valid occurrence may have the following properties:
exercise determination period any number of occurrences of date period."
asian exercise terms set,Class,,Terms governing the exercise of an Asian Option.,"A kind of option exercise time terms set. A valid occurrence satisfies the following necessary conditions:
sets out at least one occurrence of asian exercise commitment.
specifies exercise date convention at least one occurrence of european exercise convention."
aspect viewing party,Class,,The party from the perspective of which the aspect is defined.,
asset,Class,,A thing held by some party and having some value.,"A kind of thing in role. A valid occurrence satisfies the following necessary conditions:
is an asset of at least one occurrence of owner.
is played by exactly one occurrence of any type.
is played by exactly one occurrence of any type.
is played by exactly one occurrence of any type.A valid occurrence may also have the following properties:
is an owned thing in role any number of occurrences of ownership."
asset class,Class,,"a financial instrument classifier for a group of securities that exhibit similar characteristics, behave similarly in the marketplace and are subject to the same laws and regulations","A kind of financial instrument classifier. A valid occurrence satisfies the following necessary condition:
classifies at least one occurrence of security."
asset class strategy,Class,,Strategy which is asset class based.,"A kind of fund portfolio investment limitations. A valid occurrence satisfies the following necessary condition:
identifies asset types by at least one occurrence of financial instrument classifier."
asset derivative contract,Class,,,"A kind of derivative instrument. A valid occurrence satisfies the following necessary condition:
hasUnderlier at least one occurrence of asset underlier."
asset maximum or minimum payout commitment,Class,,"A commitment to pay out on the maximum or minimum of a set of assets. Further Notes Maximum of n Assets This rainbow is similar to the best of n assets plus cash we referred to in part a, with the exception that no cash payoff is possible and there is a strike price for this type of option. The payoff of a call and put are given as: Rainbow-Call = max[0, max(S1, S2) - X] Rainbow-Put = max[0, X - max(S1, S2)] Minimum of n Assets The counterpart to a maximum of n assets, this rainbow pays out the value of the underperformer of the n assets. The payoff for minimum of 2 asset rainbow calls and puts are given as: Rainbow-Call = max[0, mainS1, S2) - X] Rainbow-Put = max[0, X - min(S1, S2)]",A kind of conditional payout commitment.
asset or nothing payout commitment,Class,,,A kind of binary payout commitment.
asset repurchase agreement,Class,,"A Repurchase Agreement defined from the point of view of the lender, where it is seen as an asset repo.","A kind of repurchase agreement. A valid occurrence satisfies the following necessary condition:
defined from perspective of repo lender at least one occurrence of repo lender."
asset return commitment,Class,,,"A valid occurrence satisfies the following necessary condition:
defined as at least one occurrence of asset return stream."
asset return stream,Class,,A leg in which the returns on an asset are paid.,"A valid occurrence satisfies the following necessary condition:
has reference asset at least one occurrence of asset underlier.A valid occurrence may also have the following properties:
rate of return any number of values of any type."
asset type facet,Class,,Types od Derivatives contract classlfied by their underlying asset type.,
asset underlier,Class,,An underlyer made up of one or a basket of securities or security indices.,"A kind of underlier. A valid occurrence satisfies the following necessary condition:
underlier has identity at least one occurrence of (Unnamed Class)."
atomic value,Class,,,"A kind of Value. A valid occurrence satisfies the following necessary condition:
hasValue exactly one value of any type.A valid occurrence may also have the following properties:
hasValue any number of values of negativeInteger."
auction date rule,Class,,a business recurrence interval convention that is a published rule for defining the date of some auction event,A kind of business recurrence interval convention.
auction date rule,Class,,,A kind of business recurrence interval convention.
auditor,Class,,"an individual qualified (at the state level) to conduct audits. An auditor may be an internal auditor (an individual whose primary job function is to audit his or her own company) or an external auditor (an individual from outside the company, who typically is employed by an auditing firm who handles many different clients).",A kind of responsible party.
authority,Class,,"The right to do something, as conferred by some autonomous agent","A kind of right. A valid occurrence satisfies the following necessary condition:
is conferred by some autonomous agent at least one occurrence of autonomous agent."
auto loan  (please review),Class,,A loan specifically for the purpose of automobile purchase.,A kind of loan drawdown.
auto loan a b s,Class,,ABS issued by auto finance companies and are backed by underlying pools of auto-related loans or leases.,"A kind of cash asset backed security instrument. A valid occurrence satisfies the following necessary condition:
has underlying assets at least one occurrence of auto loan pool.A valid occurrence may also have the following properties:
category any number of occurrences of creditworthiness selection."
auto loan contract  (please review),Class,,,"A kind of loan contract. A valid occurrence satisfies the following necessary condition:
sets out terms for (please review) at least one occurrence of auto loan (please review)."
auto loan pool,Class,,A loan pool covering automobile-related loans.,"A kind of loan pool. A valid occurrence satisfies the following necessary conditions:
pool has loan type at least one occurrence of auto loan purpose.
has constituent at least one occurrence of auto loan pool constituent."
auto loan pool constituent,Class,,An auto loan defined as a constituent of an Auto Loan Pool.,A kind of loan pool constituent.
auto loan purpose,Class,,,A kind of loan purpose.
automated system,Class,,a system that reduces or eliminates the need for human involvement in order to complete a task.,A kind of autonomous agent.
automated underwriting system,Class,,a software sytstem that produces loan underwriting decisions,A kind of automated system.
autonomous agent,Class,,An agent is an autonomous individual that can adapt to and interact with its environment.,"A valid occurrence satisfies the following necessary conditions:
has capacity at least one occurrence of conferred social construct.
is identified by at least one occurrence of any type.
has capacity at least one occurrence of conferred social construct.A valid occurrence may also have the following properties:
is identified by any number of occurrences of any type.
is identified by any number of occurrences of any type.
is appointed by any number of occurrences of autonomous agent.
is identified by any number of occurrences of any type.
any number of occurrences of autonomous agent."
average daily earnings,Class,,a measure of the average daily wage an employee makes over the reporting period,"A kind of average earnings. A valid occurrence satisfies the following necessary condition:
has indicator value at least one occurrence of (Unnamed Class)."
average earnings,Class,,a measure of the average wage an hourly or salaried worker makes in a given period of time,"A kind of economic indicator and expression. A valid occurrence satisfies the following necessary condition:
has reference period exactly one occurrence of explicit recurrence interval."
average hourly earnings,Class,,a measure of the average hourly wage an employee makes over the reporting period,"A kind of average earnings. A valid occurrence satisfies the following necessary condition:
has indicator value at least one occurrence of (Unnamed Class)."
average life,Class,,"An estimate of the number of terms to maturity, taking the possibility of early payments into account. Average life is calculated using the weighted average time to the receipt of all future cash flows.","A kind of life analytic. A valid occurrence satisfies the following necessary condition:
takes into account at least one occurrence of prepayment speed.A valid occurrence may also have the following properties:
average life value any number of occurrences of timed duration specification."
average life at issue,Class,,The Average Life analytic at the time the security was issued.,"A kind of average life. A valid occurrence may have the following properties:
average life date at issue any number of values of any type.
average life value any number of occurrences of date specification."
average monthly earnings,Class,,a measure of the average monthly wage an employee makes over the reporting period,"A kind of average earnings. A valid occurrence satisfies the following necessary condition:
has indicator value at least one occurrence of (Unnamed Class)."
average weekly earnings,Class,,a measure of the average weekly wage an employee makes over the reporting period,"A kind of average earnings. A valid occurrence satisfies the following necessary condition:
has indicator value at least one occurrence of (Unnamed Class)."
balance,Class,,,"A valid occurrence may have the following properties:
is balance of any number of occurrences of account."
balance sheet asset balance,Class,,A balance sheet entry representing some asset of the entity.,
balance sheet balance,Class,,,"A kind of balance sheet feature. A valid occurrence may have the following properties:
balance any number of occurrences of Number."
balance sheet c d o,Class,,Balance Sheet CDO/CLO/CBO - the reference assets for the SDO portfolio are taken from a company/firm's balance sheet.,"A kind of c d o deal. A valid occurrence satisfies the following necessary condition:
has c d o origination objective at least one occurrence of balance sheet c d o objective."
balance sheet c d o objective,Class,,The objective is that the CDO is created to move assets off the originator balance sheet.,A kind of c d o origination objective.
balance sheet entry,Class,,Some entry on the balance sheet of some business entity.,"A valid occurrence may have the following properties:
applies to any number of occurrences of interval.
is for any number of occurrences of formally constituted organization."
balance sheet feature,Class,,,
balance sheet liability balance,Class,,A balance sheet entry representing some asset of the entity.,
balance sheet total,Class,,,A kind of balance sheet feature.
Bank,Class,,"a depository institution, usually a corporation, that accepts deposits, makes loans, pays checks, and performs related services, for individual members of the public, businesses or other organizations",A kind of depository institution.
bank account,Class,,"an account held or provided by, as a service, a bank","A kind of account. A valid occurrence satisfies the following necessary conditions:
is identified by at least one occurrence of account identifier.
is provided by at least one occurrence of Bank.
has party in role at least one occurrence of Bank."
bank for international settlements,Class,,"an international financial organization that serves central banks in their pursuit of monetary and financial stability, helping to foster international cooperation in those areas and acting as a bank for central banks",A kind of Bank.
bank holding company,Class,,any company that owns and/or has direct or indirect control of one or more banks; BHCs may also own nonbanking subsidiaries such as broker-dealers and asset managers,"A kind of business and financial service provider. A valid occurrence satisfies the following necessary condition:
has identity exactly one occurrence of corporation."
bank qualified tax exemption,Class,,Whether or not a municipal reasonably expects to issue in the calendar year of such offering no more than $10 million par amount of bonds of the type required to be included in making such calculation under the Internal Revenue Code. ,"A kind of security tax treatment (please review). A valid occurrence may have the following properties:
bank qualified any number of occurrences of Boolean value."
bankers acceptance,Class,,A Draft where the drawer and drawee of the draft are distinct parties and the drawee is a bank.,"A kind of draft and tradable debt instrument. A valid occurrence satisfies the following necessary conditions:
has value at maturity at least one occurrence of par value.
has value at issue at least one occurrence of discount value.A valid occurrence may also have the following properties:
strippable any number of occurrences of Boolean value.
putable any number of occurrences of Boolean value."
banking product,Class,,"a product provided to consumers and businesses by a bank or similar depository institution such as a checking account, savings account, certificate of deposit, debit or pre-paid card, or credit card","A kind of financial product. A valid occurrence satisfies the following necessary condition:
is provided by at least one occurrence of depository institution."
banking service,Class,,"a financial service offered by a bank or similar depository institution, such as a cash management service, foreign exchange service, lending or credit service, investment service, insurance service, merchant service, payroll service, etc.","A kind of financial service. A valid occurrence satisfies the following necessary condition:
is provided by at least one occurrence of depository institution."
bankruptcy,Class,,,
Barrel,Class,,,A kind of Reference Material.
base,Class,,The variable to which an additional Margin amount is added to get the Interest amount.,"A kind of formula argument. A valid occurrence satisfies the following necessary condition:
has operand at least one occurrence of market rate.A valid occurrence may also have the following properties:
truncating decimal places at most one occurrence of integer value.
rounding decimal places at most one occurrence of integer value."
base metal,Class,,Any metal which is not precious.,A kind of negotiable commodity.
base metals delivery,Class,,Delivery of base metals.,A kind of commodity physical delivery.
base quantity,Class,,"a quantity kind in a conventionally chosen subset of a given system of quantities, where no subset quantity can be expressed in terms of the others","A kind of quantity kind. A valid occurrence satisfies the following necessary condition:
has definition exactly one occurrence of system of quantities."
base rate,Class,,a reference rate that is the base rate set by a central bank for a given currency,A kind of reference interest rate.
base rate authority,Class,,"an interest rate authority responsible for setting the base rate for a given currency, typically a central bank","A kind of interest rate authority. A valid occurrence satisfies the following necessary condition:
sets at least one occurrence of base rate."
base unit,Class,,a measurement unit that is defined by a system of units to be the reference measurement unit for a base quantity,"A kind of measurement unit. A valid occurrence satisfies the following necessary condition:
has definition exactly one occurrence of system of units."
basis points value,Class,,,A kind of Number and numeric ratio.
basis swap,Class,,a floating-floating interest rate swap under which the floating rate payments are referenced to different bases,A kind of float-float interest rate swap.
basis swap transaction,Class,,A swap which exchanges cashflows based on two different interest rates.,A kind of i r swap transaction.
basket,Class,,"a collection of goods, services, or other things (e.g., financial contracts) that can be purchased and sold in some marketplace","A kind of collection. A valid occurrence satisfies the following necessary condition:
has constituent at least one occurrence of basket constituent."
